Chemical,Exposure,Endpoint,RfC,,
Benzene,chronic,immunological,9.38,,
Benzene,chronic,hematological,256.36,,
Benzene,chronic,developmental,99.73,,
Benzene,chronic,reproductive,299.50,,
Benzene,chronic,respiratory,330.00,,
Benzene,chronic,renal,3300.00,,
Benzene,chronic,ocular,330.00,,
Benzene,acute,immunological,9.00,,
Benzene,acute,respiratory,600.00,,
Benzene,acute,hematological,9.00,,
Benzene,acute,dermal,600.00,,
Benzene,acute,cardiovascular,3526.00,,
Benzene,acute,hepatic,470.00,,
Benzene,acute,neurological,600.00,,
Benzene,acute,reproductive,1000.00,,
Benzene,acute,developmental,100.00,,
Toluene,chronic,neurological,1325.16,,
Toluene,chronic,renal,2400.00,,
Toluene,chronic,developmental,5000.00,,
Toluene,chronic,hematological,410.00,,
Toluene,chronic,respiratory,1860.00,,
Toluene,chronic,cardiovascular,2400.00,,
Toluene,chronic,hepatic,2400.00,,
Toluene,chronic,gastrointestinal,12000.00,,
Toluene,chronic,immunological,410.00,,
Toluene,chronic,reproductive,2400.00,,
Toluene,acute,neurological,2000.00,,
Toluene,acute,respiratory,4000.00,,
Toluene,acute,ocular,4000.00,,
Toluene,acute,cardiovascular,18620.00,,
Toluene,acute,hepatic,18620.00,,
Toluene,acute,hematological,2000.00,,
Toluene,acute,immunological,10.00,,
Toluene,acute,reproductive,500.00,,
Toluene,acute,developmental,1330.00,,
Ethylbenzene,chronic,developmental,230.01,,
Ethylbenzene,chronic,renal,60.00,,
Ethylbenzene,chronic,hepatic,2500.00,,
Ethylbenzene,acute,neurological,5000.00,,
Ethylbenzene,acute,hepatic,50.00,,
Ethylbenzene,acute,renal,4000.00,,
Ethylbenzene,acute,ocular,4000.00,,
Ethylbenzene,acute,respiratory,1432.00,,
Xylenes,chronic,neurological,23.00,,
Xylenes,chronic,respiratory,140.00,,
Xylenes,chronic,gastrointestinal,140.00,,
Xylenes,chronic,ocular,140.00,,
Xylenes,chronic,hematological,1400.00,,
Xylenes,chronic,hepatic,1400.00,,
Xylenes,chronic,renal,1400.00,,
Xylenes,acute,respiratory,46000.00,,
Xylenes,acute,ocular,23000.00,,
Xylenes,acute,cardiovascular,10000.00,,
Xylenes,acute,hematological,10000.00,,
Xylenes,acute,renal,10000.00,,
Xylenes,acute,hepatic,7000.00,,
Xylenes,acute,neurological,2000.00,,
Xylenes,acute,reproductive,775.00,,
Xylenes,acute,developmental,350.00,,
n-nonane,chronic,neurological,3.81,,
n-nonane,chronic,developmental,30000.00,,
n-nonane,chronic,reproductive,90000.00,,
n-nonane,acute,neurological,24.14,,
n-decane,chronic,neurological,8600.00,,
n-decane,chronic,developmental,9000.00,,
n-decane,chronic,reproductive,9000.00,,
Ozone,chronic,respiratory,250.00,,
Ozone,chronic,cardiovascular,250.00,,
Ozone,chronic,reproductive,500.00,,
Ozone,chronic,developmental,400.00,,
Ozone,chronic,neurological,250.00,,
Ozone,acute,cardiovascular,300.00,,
Ozone,acute,respiratory,60.00,,
Ozone,acute,hepatic,250.00,,
Ozone,acute,neurological,300.00,,
Aliphatic low,chronic,neurological,97.48,,
Aliphatic low,chronic,respiratory,170.02,,
Aliphatic low,chronic,developmental,1700.20,,
Aliphatic low,chronic,hepatic,283.37,,
Aliphatic low,chronic,reproductive,1000.00,,
Aliphatic low,acute,developmental,6000.00,,
Aliphatic low,acute,neurological,5000.00,,
Aliphatic low,acute,reproductive,5000.00,,
Aromatic medium,chronic,neurological,12.19,,
Aromatic medium,chronic,developmental,203.18,,
Aromatic medium,chronic,hepatic,81.27,,
Aromatic medium,chronic,renal,81.27,,
Aromatic medium,chronic,reproductive,19.05,,
Aromatic medium,acute,neurological,2510.00,,
Styrene,acute,respiratory,400.00,,
Styrene,acute,hepatic,600.00,,
Styrene,acute,immunological,100.00,,
Styrene,acute,neurological,5000.00,,
Styrene,acute,developmental,7500.00,,
Styrene,chronic,respiratory,20.00,,
Styrene,chronic,immunological,260.00,,
Styrene,chronic,neurological,400.00,,
Trichloroethylene (TCE),acute,renal,1000.00,,
Trichloroethylene (TCE),acute,respiratory,200.00,,
Trichloroethylene (TCE),acute,hepatic,1000.00,,
Trichloroethylene (TCE),acute,cardiovascular,50000.00,,
Trichloroethylene (TCE),acute,neurological,30000.00,,
Trichloroethylene (TCE),acute,reproductive,2000.00,,
Trichloroethylene (TCE),acute,developmental,1800.00,,
Trichloroethylene (TCE),chronic,renal,1000.00,,
Tetrachloroethylene (PCE),acute,respiratory,10600.00,,
Tetrachloroethylene (PCE),acute,hepatic,4250.00,,
Tetrachloroethylene (PCE),acute,renal,4000.00,,
Tetrachloroethylene (PCE),acute,neurological,1000.00,,
Tetrachloroethylene (PCE),acute,reproductive,1000.00,,
Tetrachloroethylene (PCE),acute,developmental,1000.00,,
Tetrachloroethylene (PCE),chronic,hepatic,158.00,,
Tetrachloroethylene (PCE),chronic,renal,100.00,,
Tetrachloroethylene (PCE),chronic,respiratory,100.00,,
Tetrachloroethylene (PCE),chronic,gastrointestinal,2000.00,,
Tetrachloroethylene (PCE),chronic,neurological,0.50,,
Propene,chronic,respiratory,2000.00,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
