"","Sampling.Site","Phase","Mud","Benzene","Ethylbenzene","Toluene","Xylenes","n.Octane","n.Nonane","n.Decane","Ozone"
"1","Anthem","drilling","neoflow",0.29985,0.1173,0.72175,0.606549999999999,0.86545,1.16825,1.6568,62.5174725
"2","Anthem","pre",NA,0.27385,0.05,0.4741,0.23245,0.1527,0.0674,0.05885,65.9201525
"3","Anthem","prod",NA,0.2197,0.03835,0.30145,0.17735,0.1045,0.042,0.062,69.8889625
"4","Commons",NA,NA,0.29,0.072,0.5255,0.33375,0.08525,0.052,0.0565,66.803475
"5","Interchange A","drilling","neoflow",0.3184,0.0794,0.713,0.5288,0.5094,0.368,1.1514,52.18543
"6","Interchange A","pre",NA,0.188,0.0382,0.3298,0.2048,0.1528,0.1292,0.39,65.0081
"7","Interchange B","drilling","gibson",0.2781,0.0881,0.6761,0.596,0.5079,0.3192,0.3012,61.485
"8","Interchange B","drilling","neoflow",0.24565,0.0782,0.5667,0.5516,0.5615,0.43465,1.54,62.79725
"9","Interchange B","pre",NA,0.4339,0.1115,1.3962,0.6207,0.4966,0.2464,0.2074,64.37047
"10","Interchange B","prod",NA,0.317,0.0599,0.7768,0.3023,0.188,0.1138,0.1408,70.685225
"11","Livingston","drilling","neoflow",0.3476,0.1763,0.9501,1.0699,1.1428,1.3685,2.2095,62.590695
"12","Livingston","pre",NA,0.3565,0.0578,0.47275,0.30165,0.21715,0.1213,0.0855,66.07055
"13","Livingston","prod",NA,0.2568,0.03945,0.32715,0.17045,0.065,0.047,0.05235,70.9889175
"14","Northwest A","drilling","neoflow",0.5804,0.16725,1.15255,0.84305,1.2114,1.6231,2.64735,45.88577
"15","Northwest A","pre",NA,0.3549,0.0881,0.7367,0.63,0.5822,0.282,0.2111,59.676215
"16","Northwest A","prod",NA,0.2811,0.02185,0.284,0.101,0.0465,0.0298,0.04585,65.76251
"17","Northwest B","drilling","neoflow",0.7122,0.1542,1.6268,1.4064,1.6076,1.5542,2.8414,55.87715
"18","Northwest B","pre",NA,0.2265,0.0525,0.40175,0.30125,0.24375,0.119,0.2235,59.5830875
"19","Northwest B","prod",NA,0.2085,0.0294,0.25825,0.1356,0.0716000000000001,0.04215,0.0653,66.48613
"20","United","drilling","neoflow",0.3606,0.1164,0.9495,0.8897,0.8229,0.6162,2.234,48.6091
"21","United","pre",NA,0.3245,0.0558,0.4953,0.2713,0.1817,0.0922,0.1372,65.508405
"22","United","prod",NA,0.3157,0.0458,0.4409,0.2125,0.1175,0.0684999999999999,0.0629999999999999,68.26611
"23","Wildgrass","drilling","neoflow",0.294,0.068,0.7335,0.3245,0.127,0.1015,0.1315,62.688325
"24","Wildgrass","none",NA,0.2468,0.0407,0.36385,0.1927,0.0728499999999999,0.04135,0.0452499999999999,66.2846275
"25","Wildgrass","prod",NA,0.2334,0.042,0.3357,0.1872,0.061,0.041,0.0684999999999999,69.26498
